Customer ID,Duration,Purchase Amount,Representative,Date of Call
C0038,72,110,R003,8-Apr-18
C0164,84,0,R003,22-Apr-18
C0137,92,50,R006,25-Jan-18
C0088,96,165,R004,5-Jul-18
C0147,104,65,R003,24-Aug-18
C0248,76,50,R004,19-Aug-18
C0152,72,185,R005,27-Oct-18
C0140,102,140,R003,23-Nov-18
C0154,73,0,R004,16-Dec-18
C0058,94,0,R002,4-Feb-18
C0163,99,170,R002,20-Jul-18
C0252,67,110,R003,3-Aug-18
C0238,72,0,R004,1-Jan-18
C0298,110,0,R005,20-Oct-18
C0098,76,130,R002,1-Mar-18
C0009,76,105,R003,23-May-18
C0279,90,50,R006,21-Apr-18
C0263,103,160,R004,15-Jul-18
C0163,81,0,R007,15-Aug-18
C0049,78,125,R007,8-Nov-18
C0244,76,175,R007,23-May-18
C0083,109,160,R004,1-Apr-18
C0135,121,0,R005,3-Oct-18
C0003,70,60,R006,16-Dec-18
C0094,52,0,R003,28-Nov-18
C0103,103,150,R004,13-Oct-18
C0075,94,115,R007,18-Feb-18
C0166,109,135,R002,3-Mar-18
C0082,116,135,R005,4-Apr-18
C0231,100,80,R004,28-Jul-18
C0224,97,100,R006,6-Oct-18
C0251,139,165,R003,24-Aug-18
C0128,83,190,R001,15-Aug-18
C0004,57,200,R002,19-Apr-18
C0154,113,170,R003,28-Sep-18
C0296,105,170,R006,15-Nov-18
C0172,122,0,R006,12-May-18
C0297,102,55,R005,29-Jun-18
C0229,96,70,R004,27-Sep-18
C0046,122,50,R004,29-Mar-18
C0298,111,170,R003,22-Jan-18
C0052,75,160,R003,26-May-18
C0148,75,100,R006,18-Jul-18
C0047,91,105,R004,10-May-18
C0142,76,55,R007,26-Aug-18
C0130,128,0,R001,16-Jun-18
C0175,115,105,R005,24-Mar-18
C0289,88,170,R006,15-Jan-18
C0298,37,0,R001,12-Jan-18
C0277,88,105,R007,26-Dec-18
C0154,67,135,R007,28-Jul-18
C0159,87,140,R005,27-Oct-18
C0146,71,185,R004,21-Dec-18
C0106,87,75,R003,6-Jul-18
C0231,117,0,R001,1-Jun-18
C0042,93,0,R004,23-Dec-18
C0062,61,115,R002,10-Nov-18
C0151,65,60,R007,28-Jul-18
C0241,94,0,R005,19-Jul-18
C0138,108,135,R002,19-Apr-18
C0265,50,125,R004,14-Sep-18
C0257,113,0,R001,4-Mar-18
C0220,106,110,R005,22-Aug-18
C0177,105,0,R006,20-Jan-18
C0169,85,0,R003,2-Mar-18
C0050,118,120,R006,14-Sep-18
C0100,62,80,R006,26-Jul-18
C0122,100,180,R006,16-Aug-18
C0197,81,195,R001,6-Sep-18
C0248,98,170,R006,11-May-18
C0263,70,110,R007,30-Aug-18
C0206,109,115,R001,3-Nov-18
C0086,110,0,R006,28-Jul-18
C0123,72,140,R006,25-Nov-18
C0280,98,150,R001,5-Jul-18
C0117,74,0,R003,15-Apr-18
C0178,140,145,R001,25-Jul-18
C0242,80,120,R006,13-Jan-18
C0067,126,55,R002,13-Jun-18
C0031,106,170,R001,23-Sep-18
C0269,89,100,R005,15-Jun-18
C0154,66,200,R001,25-Oct-18
C0261,60,65,R006,23-Mar-18
C0214,69,130,R002,1-Apr-18
C0230,84,75,R005,8-Jun-18
C0186,128,160,R007,11-Aug-18
C0251,113,65,R003,22-Jan-18
C0118,121,75,R002,21-Sep-18
C0056,55,125,R001,31-Oct-18
C0258,125,125,R001,29-Jan-18
C0008,128,90,R007,14-Jan-18
C0095,153,125,R002,6-May-18
C0165,124,180,R006,18-May-18
C0118,99,195,R006,1-Mar-18
C0050,121,185,R002,21-Jul-18
C0173,85,85,R007,1-Nov-18
C0138,118,80,R006,21-Jul-18
C0060,105,0,R006,31-Oct-18
C0189,128,0,R007,6-Dec-18
C0036,97,0,R003,16-Nov-18
C0227,100,170,R006,27-Apr-18
C0273,89,190,R007,24-Jun-18
C0282,106,175,R003,6-Dec-18
C0044,70,80,R002,13-Jan-18
C0177,73,50,R002,19-Aug-18
C0294,107,80,R005,7-Oct-18
C0123,109,0,R002,14-Mar-18
C0056,81,70,R004,18-Jan-18
C0083,96,0,R002,16-Mar-18
C0039,111,0,R002,23-Nov-18
C0182,118,85,R005,19-Dec-18
C0071,85,180,R001,8-Jul-18
C0052,94,130,R007,19-Jan-18
C0137,87,130,R002,25-Feb-18
C0037,74,0,R003,16-Nov-18
C0055,48,160,R007,21-Oct-18
C0041,73,0,R001,10-Aug-18
C0128,69,50,R007,1-Sep-18
C0265,103,55,R002,18-May-18
C0092,88,55,R007,20-Apr-18
C0132,99,125,R004,20-May-18
C0277,111,110,R004,26-Jan-18
C0108,84,90,R006,18-Aug-18
C0143,109,155,R004,13-May-18
C0238,99,155,R006,18-Jan-18
C0209,79,130,R001,2-Mar-18
C0069,90,0,R003,5-Feb-18
C0267,100,85,R004,17-Feb-18
C0144,94,75,R007,9-Sep-18
C0238,117,0,R002,1-Jun-18
C0197,112,0,R004,26-Apr-18
C0138,83,180,R004,17-Feb-18
C0126,81,65,R007,31-Aug-18
C0110,91,185,R004,4-Jul-18
C0238,75,175,R002,12-Jul-18
C0228,120,140,R007,1-Nov-18
C0246,91,0,R004,30-May-18
C0028,91,0,R003,7-Jan-18
C0119,75,190,R005,22-Jan-18
C0205,116,175,R004,29-Mar-18
C0283,121,175,R001,24-Feb-18
C0176,86,150,R006,13-May-18
C0269,84,195,R003,18-Jan-18
C0267,67,130,R007,5-Aug-18
C0075,96,100,R001,18-Jul-18
C0285,103,0,R003,25-Apr-18
C0064,81,0,R005,31-Aug-18
C0025,94,190,R006,23-Nov-18
C0019,90,0,R004,18-Aug-18
C0008,80,0,R003,4-Aug-18
C0100,80,50,R005,22-Mar-18
C0126,98,185,R005,19-Feb-18
C0296,47,80,R001,9-Dec-18
C0168,69,75,R003,29-Mar-18
C0048,54,110,R001,29-Jun-18
C0098,112,85,R005,14-Sep-18
C0044,70,200,R003,6-Oct-18
C0174,108,110,R002,20-May-18
C0184,87,0,R004,1-Aug-18
C0291,95,125,R002,26-Sep-18
C0275,107,0,R001,27-Sep-18
C0144,109,80,R005,2-Mar-18
C0276,128,110,R005,21-Dec-18
C0083,58,110,R004,31-Oct-18
C0013,109,115,R004,7-Jul-18
C0001,80,180,R002,19-Sep-18
C0234,97,105,R001,24-Feb-18
C0043,123,0,R004,23-Jun-18
C0050,74,160,R005,19-Feb-18
C0200,50,150,R005,11-Jul-18
C0264,61,165,R002,6-Sep-18
C0248,94,65,R003,11-Aug-18
C0159,106,75,R001,22-Apr-18
C0065,67,155,R006,7-Jul-18
C0162,86,95,R004,29-Aug-18
C0131,95,60,R005,1-Aug-18
C0217,73,165,R003,8-Apr-18
C0169,116,0,R001,5-Feb-18
C0042,107,180,R005,30-Mar-18
C0186,71,100,R004,29-Jan-18
C0082,91,0,R001,20-Apr-18
C0294,111,145,R004,18-Feb-18
C0264,114,85,R004,29-Jun-18
C0154,93,0,R005,8-Nov-18
C0071,67,200,R005,21-Dec-18
C0077,98,0,R002,25-May-18
C0006,73,70,R007,27-Jul-18
C0176,97,140,R002,19-May-18
C0130,100,130,R003,22-Nov-18
C0118,79,135,R007,3-Feb-18
C0297,96,50,R007,17-Jun-18
C0105,52,195,R006,24-Aug-18
C0062,110,50,R001,1-Aug-18
C0196,85,90,R004,14-Dec-18
C0094,79,150,R001,28-Jul-18
C0145,79,125,R004,10-Nov-18
C0273,87,90,R006,8-Aug-18
C0049,118,70,R006,29-Sep-18
C0225,86,0,R005,29-Mar-18
C0293,100,0,R001,19-Feb-18
C0009,96,195,R003,7-Jul-18
C0091,88,200,R004,9-Feb-18
C0180,101,150,R005,17-May-18
C0128,88,0,R002,12-Feb-18
C0080,56,105,R002,12-Apr-18
C0049,113,160,R001,20-Apr-18
C0153,82,95,R001,11-Oct-18
C0073,142,50,R001,1-Aug-18
C0030,80,65,R003,26-Sep-18
C0120,68,180,R002,19-Apr-18
C0204,64,160,R007,8-Jan-18
C0275,132,125,R003,12-Jul-18
C0226,80,145,R007,6-Jan-18
C0042,53,200,R004,31-Aug-18
C0300,99,0,R005,27-Jan-18
C0194,67,0,R006,9-Mar-18
C0144,84,55,R004,7-Mar-18
C0009,120,80,R004,8-Apr-18
C0227,55,90,R006,26-Jan-18
C0060,84,130,R002,10-Nov-18
C0109,99,145,R005,29-Jan-18
C0116,78,175,R007,30-Aug-18
C0227,82,105,R003,7-Jan-18
C0139,77,145,R001,4-Nov-18
C0197,57,0,R007,25-Apr-18
C0208,83,65,R002,5-May-18
C0125,107,60,R002,2-Nov-18
C0004,68,0,R005,11-Jan-18
C0117,131,185,R002,15-Sep-18
C0248,98,55,R004,16-May-18
C0249,110,55,R004,22-Feb-18
C0061,68,100,R007,23-Nov-18
C0092,121,195,R005,2-May-18
C0073,74,75,R001,8-Nov-18
C0219,72,0,R007,14-Dec-18
C0235,62,105,R005,3-Mar-18
C0245,90,90,R007,1-Jan-18
C0008,78,0,R001,22-Dec-18
C0174,111,0,R002,4-Jan-18
C0138,101,100,R001,2-Nov-18
C0255,92,80,R003,1-Mar-18
C0270,104,195,R005,20-Jul-18
C0135,123,75,R005,15-Jan-18
C0291,123,0,R001,22-Jan-18
C0267,83,80,R003,19-May-18
C0194,82,0,R004,17-Mar-18
C0182,128,160,R002,12-May-18
C0178,121,80,R005,26-Apr-18
C0050,91,0,R004,15-Mar-18
C0057,76,190,R005,29-Jan-18
C0252,65,110,R004,27-Sep-18
C0092,71,0,R001,28-Jul-18
C0195,57,65,R005,25-Aug-18
C0042,81,100,R006,25-Oct-18
C0060,92,195,R004,9-Dec-18
C0056,67,100,R002,27-Apr-18
C0109,71,130,R005,24-Feb-18
C0211,99,135,R006,6-Jul-18
C0286,91,160,R005,7-Apr-18
C0296,68,175,R006,14-Dec-18
C0288,112,0,R001,5-Dec-18
C0052,112,130,R003,15-Jan-18
C0067,88,130,R004,16-Aug-18
C0232,79,70,R002,28-Jul-18
C0117,52,120,R006,9-Dec-18
C0247,93,160,R005,16-Dec-18
C0235,58,195,R006,29-Jun-18
C0185,79,0,R005,6-Jul-18
C0112,88,50,R004,23-Dec-18
C0053,79,165,R004,3-Jun-18
C0185,97,180,R004,19-Apr-18
C0235,90,0,R002,26-Dec-18
C0007,97,125,R003,30-Mar-18
C0137,74,0,R004,23-Aug-18
C0159,86,195,R002,1-Apr-18
C0058,111,135,R007,10-Jun-18
C0010,66,0,R007,1-Mar-18
C0237,64,195,R001,7-Dec-18
C0245,106,0,R003,15-Jan-18
C0076,73,115,R003,16-Mar-18
C0170,91,150,R002,10-Nov-18
C0048,71,95,R003,31-Oct-18
C0024,71,145,R003,12-Apr-18
C0039,86,130,R004,31-Oct-18
C0076,74,70,R005,11-Nov-18
C0077,70,90,R001,23-May-18
C0010,107,165,R007,8-Jan-18
C0160,71,115,R005,19-Apr-18
C0180,80,0,R002,6-Jun-18
C0104,36,65,R004,25-Jan-18
C0258,100,60,R002,25-Nov-18
C0085,108,0,R006,4-Nov-18
C0170,54,150,R006,10-May-18
C0206,76,60,R002,30-Sep-18
C0147,105,95,R001,11-Jul-18
C0112,50,145,R007,7-Sep-18
C0116,64,105,R004,16-Aug-18
C0294,77,100,R002,3-Mar-18
C0090,101,155,R007,18-Mar-18
C0184,119,80,R003,19-Oct-18
C0174,129,175,R001,10-Oct-18
C0271,94,0,R004,30-Mar-18
C0298,38,0,R007,27-Oct-18
C0244,109,0,R006,5-Sep-18
C0085,65,140,R004,22-Jun-18
C0276,97,155,R006,12-Jul-18
C0010,50,140,R007,13-Apr-18
C0110,104,180,R005,11-Aug-18
C0071,62,190,R003,29-Mar-18
C0236,38,85,R003,7-Jan-18
C0170,89,195,R007,26-Jan-18
C0290,101,50,R004,16-Dec-18
C0058,124,70,R007,24-Jun-18
C0028,109,100,R004,4-Nov-18
C0290,100,0,R003,18-Oct-18
C0101,113,140,R002,3-May-18
C0292,101,195,R003,18-Aug-18
C0208,115,175,R003,4-Mar-18
C0115,98,160,R001,2-Feb-18
C0148,92,115,R003,5-Apr-18
C0133,53,160,R005,10-May-18
C0188,114,55,R003,19-Dec-18
C0043,103,130,R002,3-Mar-18
C0167,96,100,R005,13-Sep-18
C0189,86,145,R004,29-Jul-18
C0223,101,0,R006,10-Mar-18
C0255,74,145,R007,20-Jun-18
C0263,77,0,R001,24-Mar-18
C0231,103,85,R006,4-Oct-18
C0006,74,110,R002,25-Mar-18
C0214,79,140,R002,30-Nov-18
C0206,49,90,R001,3-Jun-18
C0209,64,175,R006,28-Sep-18
C0274,127,185,R004,7-Nov-18
C0001,121,145,R007,27-Sep-18
C0103,102,135,R004,9-Feb-18
C0299,111,135,R005,5-Feb-18
C0055,77,190,R002,12-Apr-18
C0144,69,0,R005,21-Oct-18
C0163,108,180,R006,28-Nov-18
C0021,63,90,R001,30-Aug-18
C0119,105,190,R004,30-Sep-18
C0233,61,165,R003,23-Mar-18
C0245,108,95,R004,27-Dec-18
C0008,39,135,R005,25-Oct-18
C0300,60,0,R003,7-Jun-18
C0055,74,65,R004,27-Jan-18
C0192,86,110,R003,2-Aug-18
C0295,87,0,R002,13-Apr-18
C0249,129,0,R006,2-Feb-18
C0160,95,0,R006,1-Jul-18
C0001,84,80,R002,9-Aug-18
C0035,98,95,R004,22-Apr-18
C0008,76,0,R006,10-May-18
C0286,76,125,R004,7-Jan-18
C0050,91,0,R007,18-Oct-18
C0125,135,190,R006,26-Aug-18
C0066,95,95,R002,9-Dec-18
C0222,98,195,R007,8-Sep-18
C0079,92,0,R006,29-Nov-18
C0248,70,120,R007,5-Jul-18
C0289,97,50,R005,14-Mar-18
C0247,79,185,R006,5-May-18
C0207,124,115,R002,22-Sep-18
C0193,98,150,R005,3-Jun-18
C0127,110,145,R004,15-Dec-18
C0173,99,0,R007,7-Jun-18
C0207,122,135,R001,22-Apr-18
C0134,116,100,R002,2-May-18
C0041,93,75,R003,2-Nov-18
C0233,76,155,R001,15-Dec-18
C0270,55,160,R005,14-Mar-18
C0035,67,0,R004,1-Feb-18
C0147,66,200,R002,14-Jul-18
C0148,91,70,R006,21-Mar-18
C0174,84,0,R001,1-Mar-18
C0180,57,145,R002,9-Mar-18
C0109,90,145,R005,8-Feb-18
C0186,96,120,R005,7-Jul-18
C0114,117,0,R002,15-Feb-18
C0228,95,70,R006,16-Dec-18
C0249,93,150,R002,8-Jun-18
C0177,72,185,R007,15-Mar-18
C0031,71,145,R002,2-Aug-18
C0055,74,130,R006,15-Dec-18
C0101,52,160,R002,3-Mar-18
C0237,105,135,R001,26-Apr-18
C0051,104,65,R005,26-May-18
C0295,127,165,R003,6-Apr-18
C0115,120,155,R003,28-Apr-18
C0042,77,195,R004,13-Sep-18
C0264,115,110,R001,16-Jun-18
C0231,60,195,R003,2-Mar-18
C0235,117,115,R001,1-Jun-18
C0208,120,200,R007,1-Aug-18
C0183,57,0,R001,25-Feb-18
C0012,69,70,R001,29-Jun-18
C0058,55,170,R007,18-Feb-18
C0272,122,0,R007,8-Aug-18
C0293,105,195,R007,5-Jan-18
C0073,108,135,R002,11-Apr-18
C0041,104,0,R002,17-May-18
C0227,72,140,R003,23-Aug-18
C0270,99,165,R003,30-Mar-18
C0004,62,0,R005,7-Sep-18
C0268,104,195,R005,29-Jul-18
C0211,94,135,R002,9-Feb-18
C0270,64,185,R005,1-Aug-18
C0077,126,100,R002,4-Jul-18
C0055,117,50,R007,26-May-18
C0018,94,55,R006,2-May-18
C0164,54,50,R006,1-Dec-18
C0141,90,135,R003,25-Aug-18
C0298,90,135,R005,6-Dec-18
C0206,93,200,R001,7-Jul-18
C0184,111,120,R006,20-Jan-18
C0280,62,175,R007,18-Nov-18
C0194,121,0,R007,21-Mar-18
C0094,49,125,R002,16-May-18
C0079,119,55,R004,14-Nov-18
C0204,105,0,R001,6-Jun-18
C0277,117,195,R004,4-Mar-18
C0055,104,0,R004,16-Feb-18
C0214,81,0,R001,23-Jun-18
C0029,76,115,R001,5-Jan-18
C0218,106,185,R007,22-Feb-18
C0225,45,60,R001,9-May-18
C0086,69,200,R007,5-Jul-18
C0133,108,115,R003,25-Apr-18
C0205,55,0,R002,19-Apr-18
C0094,81,50,R003,17-May-18
C0118,91,190,R006,4-May-18
C0090,68,185,R005,15-Dec-18
C0024,86,120,R005,16-Dec-18
C0283,91,130,R007,4-Apr-18
C0152,56,60,R005,22-Jun-18
C0228,62,0,R005,26-Aug-18
C0241,114,195,R001,20-Sep-18
C0078,66,0,R005,22-Mar-18
C0019,92,155,R007,2-May-18
C0067,80,185,R004,20-Dec-18
C0255,75,200,R006,8-Sep-18
C0180,53,135,R002,1-Nov-18
C0100,72,90,R004,14-Jan-18
C0072,111,140,R003,29-Aug-18
C0170,94,100,R007,4-Feb-18
C0010,54,110,R003,24-Feb-18
C0028,51,0,R004,1-Jan-18
C0262,101,100,R006,21-Sep-18
C0297,94,175,R006,4-Apr-18
C0045,97,70,R005,30-Sep-18
C0053,60,160,R006,23-Jun-18
C0146,77,150,R004,5-Jan-18
C0300,95,0,R001,2-Dec-18
C0143,82,140,R003,27-Apr-18
C0159,66,130,R005,14-Jan-18
C0075,114,200,R003,23-Nov-18
C0162,86,165,R002,26-Dec-18
C0106,70,95,R003,15-Apr-18
C0211,71,0,R002,8-Mar-18
C0182,93,0,R002,20-Oct-18
C0245,117,65,R005,20-Apr-18
C0226,80,175,R007,11-Apr-18
C0098,81,0,R001,7-Jun-18
C0219,76,75,R005,11-Jul-18
C0111,93,75,R001,11-Feb-18
C0222,82,100,R007,4-Apr-18
C0294,66,0,R007,26-Apr-18
C0052,122,90,R006,25-Nov-18
C0074,99,95,R002,23-Mar-18
C0048,80,150,R005,22-Mar-18
C0292,84,70,R004,4-Oct-18
C0192,102,165,R001,30-May-18
C0069,129,0,R007,13-May-18
C0197,100,0,R001,16-Nov-18
C0004,52,85,R006,27-Jun-18
C0134,107,200,R006,7-Mar-18
C0127,53,0,R003,24-Aug-18
C0014,90,110,R005,30-Dec-18
C0097,81,0,R007,27-Apr-18
C0239,96,150,R002,27-Jul-18
C0003,87,200,R002,20-May-18
C0038,75,200,R001,14-Jul-18
C0202,98,160,R007,7-Sep-18
C0043,135,85,R007,9-Aug-18
C0223,73,0,R001,18-Oct-18
C0102,124,170,R002,1-Feb-18
C0079,74,0,R006,5-May-18
C0204,94,85,R002,12-Dec-18
C0155,79,55,R001,20-Jan-18
C0038,96,0,R005,17-Nov-18
C0260,99,60,R005,13-Oct-18
C0290,103,105,R007,7-Apr-18
C0146,73,170,R002,25-Aug-18
C0002,91,190,R007,15-Nov-18
C0244,57,0,R004,6-Dec-18
C0136,107,55,R004,7-Dec-18
C0072,95,145,R005,18-Oct-18
C0111,93,90,R001,11-Feb-18
C0032,96,0,R007,8-Jan-18
C0134,74,95,R002,7-Apr-18
C0135,84,120,R004,8-Jun-18
C0240,103,110,R005,2-Aug-18
C0120,95,0,R003,9-Nov-18
C0136,82,80,R004,12-Apr-18
C0197,81,0,R004,20-Sep-18
C0078,80,0,R007,22-Jan-18
C0272,39,80,R002,8-Mar-18
C0164,113,60,R001,5-Dec-18
C0132,84,115,R004,20-Jan-18
C0278,95,180,R007,16-Mar-18
C0194,107,185,R001,14-Apr-18
C0085,109,185,R002,8-Jul-18
C0034,58,80,R002,22-Dec-18
C0085,123,90,R007,25-Apr-18
C0058,120,115,R002,9-Mar-18
C0281,74,120,R004,24-Feb-18
C0171,49,0,R006,29-Jan-18
C0203,87,190,R007,7-Oct-18
C0268,78,145,R004,14-Mar-18
C0260,138,160,R001,2-Nov-18
C0226,96,100,R002,2-Feb-18
C0063,102,150,R007,5-Jul-18
C0213,91,155,R003,21-Oct-18
C0055,65,65,R006,9-Dec-18
C0064,114,60,R003,1-Apr-18
C0259,112,0,R002,7-Jul-18
C0025,95,95,R004,24-May-18
C0237,61,75,R004,16-Dec-18
C0070,124,170,R003,7-Mar-18
C0025,102,145,R005,20-Sep-18
C0299,102,75,R004,8-Apr-18
C0199,111,165,R005,30-Nov-18
C0299,103,180,R007,29-Jul-18
C0181,73,85,R007,21-Apr-18
C0215,104,0,R001,27-Jun-18
C0007,113,120,R003,30-Nov-18
C0159,104,195,R003,8-Jul-18
C0137,92,85,R003,16-Mar-18
C0237,96,90,R004,24-Nov-18
C0208,93,65,R006,14-Nov-18
C0031,85,185,R003,12-Oct-18
C0004,106,120,R003,21-Apr-18
C0097,100,175,R002,28-Jun-18
C0059,82,120,R005,18-Jul-18
C0174,88,105,R007,18-Oct-18
C0187,113,115,R002,7-Sep-18
C0006,107,170,R002,19-Jan-18
C0135,79,80,R002,29-Nov-18
C0136,73,85,R002,28-Jul-18
C0100,94,155,R003,4-Nov-18
C0127,67,105,R004,5-Sep-18
C0009,100,70,R002,17-Oct-18
C0241,95,75,R006,26-Dec-18
C0234,83,60,R006,12-Oct-18
C0073,86,95,R006,25-Jul-18
C0117,45,100,R007,29-Dec-18
C0132,102,120,R002,17-Nov-18
C0166,92,145,R002,3-Jun-18
C0206,81,0,R007,17-Feb-18
C0081,72,125,R001,27-Jun-18
C0277,94,0,R002,23-Mar-18
C0190,122,0,R005,24-Aug-18
C0095,92,200,R002,22-Feb-18
C0164,53,140,R005,27-Oct-18
C0109,113,200,R002,21-Oct-18
C0290,97,140,R004,8-Jul-18
C0092,95,80,R002,29-Dec-18
C0059,46,160,R002,5-Jul-18
C0118,92,140,R004,25-Jan-18
C0018,77,0,R007,20-Dec-18
C0270,73,0,R002,23-Sep-18
C0284,80,150,R003,29-Jun-18
C0219,102,115,R001,21-Nov-18
C0262,59,170,R006,19-Oct-18
C0268,106,190,R003,12-Sep-18
C0083,64,115,R004,5-Feb-18
C0025,76,70,R002,2-Jun-18
C0153,63,0,R006,6-Sep-18
C0274,94,65,R002,21-Sep-18
C0103,74,160,R007,17-Nov-18
C0279,66,0,R003,11-Jul-18
C0173,125,65,R001,8-Mar-18
C0288,125,185,R007,2-Feb-18
C0256,79,0,R005,23-May-18
C0218,98,130,R005,7-Mar-18
C0007,86,70,R006,1-Nov-18
C0067,50,160,R001,27-Oct-18
C0033,108,135,R003,22-Aug-18
C0050,72,130,R001,16-Feb-18
C0101,89,170,R006,7-Oct-18
C0257,118,155,R005,21-Apr-18
C0256,85,115,R005,28-Nov-18
C0108,116,200,R007,28-Oct-18
C0194,107,190,R006,5-Oct-18
C0173,109,0,R003,4-Nov-18
C0119,82,195,R005,16-Dec-18
C0042,70,0,R005,17-Feb-18
C0148,79,70,R003,25-May-18
C0240,103,0,R003,29-Aug-18
C0287,84,105,R006,23-May-18
C0203,50,180,R004,15-Mar-18
C0222,82,65,R004,18-Aug-18
C0187,109,0,R005,2-Nov-18
C0184,120,170,R004,25-Feb-18
C0182,99,60,R004,17-Nov-18
C0135,97,100,R004,9-Jun-18
C0295,114,110,R006,27-Sep-18
C0140,100,55,R004,24-Oct-18
C0231,48,0,R005,16-Mar-18
C0136,61,105,R002,15-Feb-18
C0183,127,200,R007,6-Jan-18
C0069,95,95,R007,12-May-18
C0179,77,145,R002,7-Jun-18
C0257,86,90,R004,5-Jan-18
C0156,116,180,R005,10-Jun-18
C0048,60,55,R007,12-Dec-18
C0075,112,115,R005,5-Dec-18
C0033,82,70,R001,25-Nov-18
C0155,76,130,R001,13-Jun-18
C0013,85,170,R001,14-Jul-18
C0044,76,115,R005,19-Sep-18
C0245,55,200,R007,12-Oct-18
C0127,99,115,R006,4-Feb-18
C0028,108,145,R002,8-Nov-18
C0228,55,165,R005,8-Nov-18
C0063,92,105,R003,13-Sep-18
C0201,74,60,R005,1-Dec-18
C0211,125,115,R001,30-May-18
C0071,69,0,R002,18-Mar-18
C0049,92,0,R005,12-Oct-18
C0104,84,180,R006,21-Oct-18
C0046,76,90,R005,20-Jul-18
C0083,66,0,R003,26-May-18
C0116,99,195,R005,6-Apr-18
C0153,120,160,R007,22-Jul-18
C0276,86,0,R007,31-May-18
C0116,102,90,R001,25-Nov-18
C0236,91,95,R001,1-Sep-18
C0071,121,115,R005,20-Jul-18
C0052,115,195,R003,20-Sep-18
C0190,112,195,R006,28-Apr-18
C0254,108,50,R007,19-Sep-18
C0224,56,145,R007,3-Nov-18
C0245,112,65,R006,11-Feb-18
C0068,81,135,R005,27-Sep-18
C0281,104,0,R001,3-Mar-18
C0213,90,170,R007,7-Nov-18
C0062,90,170,R007,23-Aug-18
C0196,97,0,R005,19-May-18
C0001,87,0,R007,13-Oct-18
C0101,77,120,R007,3-Feb-18
C0130,69,90,R003,12-Apr-18
C0255,121,195,R006,10-May-18
C0201,109,160,R006,8-Dec-18
C0030,72,0,R001,9-Feb-18
C0122,71,190,R004,9-Feb-18
C0272,72,75,R006,4-Oct-18
C0014,69,135,R003,22-Sep-18
C0057,104,90,R002,3-Oct-18
C0168,77,190,R002,14-Jun-18
C0097,94,190,R004,1-Sep-18
C0210,127,155,R005,25-Feb-18
C0130,76,200,R007,30-Sep-18
C0144,62,0,R005,30-Dec-18
C0275,87,180,R005,29-Jun-18
C0168,105,150,R004,15-Aug-18
C0208,81,85,R004,31-Aug-18
C0100,122,130,R006,13-Jul-18
C0126,94,160,R007,22-Dec-18
C0165,69,145,R003,13-Jun-18
C0030,106,135,R006,13-Jul-18
C0223,48,55,R002,17-May-18
C0012,84,60,R004,2-Dec-18
